date,side,pnl,pnl_pct,bars_held,equity_after
2023-12-01,LONG,81.94,0.82,3,10081.94
2024-03-06,LONG,224.07,2.183,2,10306.02
2024-03-28,LONG,184.84,1.78,14,10490.86
2024-04-05,LONG,176.35,1.664,3,10667.21
2024-04-12,LONG,209.79,1.959,3,10877.0
2024-05-23,LONG,-120.22,-1.112,3,10756.78
2024-08-02,LONG,244.67,2.245,19,11001.46
2024-09-20,LONG,211.17,1.89,23,11212.62
2024-10-18,LONG,244.93,2.151,18,11457.55
2024-11-06,LONG,-146.72,-1.278,11,11310.84
2024-12-13,LONG,-95.39,-0.85,1,11215.44
2025-02-03,LONG,262.56,2.302,10,11478.0
2025-03-13,LONG,250.03,2.14,25,11728.04
2025-03-31,LONG,254.65,2.134,10,11982.69
2025-04-21,LONG,262.66,2.17,4,12245.35
2025-06-20,LONG,-138.86,-1.141,3,12106.49
2025-07-25,LONG,-142.54,-1.186,3,11963.95
2025-09-15,LONG,241.45,1.985,8,12205.39
2025-09-29,LONG,301.42,2.423,8,12506.81
2025-10-08,LONG,227.16,1.786,5,12733.97
2025-10-16,LONG,237.45,1.856,2,12971.42
2025-12-23,LONG,352.37,2.66,15,13323.79
2025-12-30,LONG,-41.07,-0.31,1,13282.72
2026-01-21,LONG,365.08,2.701,5,13647.81
2026-01-28,LONG,430.44,3.118,3,14078.25
2026-02-02,LONG,-485.13,-3.59,1,13593.12
